model,f1,roc_auc,precision,recall,accuracy,mcc,tp,fp,fn,tn,total_cost,cost_savings
Random Forest,0.17647058823529413,0.8499873737373738,0.21428571428571427,0.15,0.986,0.1723831434478185,3,11,17,1969,181.0,0.99095
SVM,0.0893854748603352,0.8732070707070707,0.047337278106508875,0.8,0.837,0.16922631508171238,16,322,4,1658,362.0,0.9819
Logistic Regression,0.07729468599033816,0.88,0.04060913705583756,0.8,0.809,0.15237328449544782,16,378,4,1602,418.0,0.9791
HASTE,0.3333333333333333,0.8634848484848484,0.375,0.3,0.988,0.3294309696532784,6,10,14,1970,150.0,0.9925
