model,f1,roc_auc,precision,recall,accuracy,mcc,tp,fp,fn,tn,total_cost,cost_savings
Random Forest,0.9128440366972477,0.9871693054136874,0.9212962962962963,0.9045454545454545,0.981,0.9022306945067955,199,17,21,1763,227.0,0.98865
SVM,0.9050772626931567,0.9848672114402451,0.8798283261802575,0.9318181818181818,0.9785,0.893433488301811,205,28,15,1752,178.0,0.9911
Logistic Regression,0.16379310344827586,0.4720122574055159,0.10106382978723404,0.4318181818181818,0.515,-0.02689497102452475,95,845,125,935,2095.0,0.89525
HASTE,0.9305555555555556,0.9847931562819204,0.9481132075471698,0.9136363636363637,0.985,0.9223494899597952,201,11,19,1769,201.0,0.98995
