model,f1,roc_auc,precision,recall,accuracy,mcc,tp,fp,fn,tn,total_cost,cost_savings
Random Forest,0.8455958549222798,0.9649803321678321,0.7771428571428571,0.9272727272727272,0.9255,0.8024011950053307,408,117,32,1443,437.0,0.97815
SVM,0.8110497237569061,0.9611924533799534,0.789247311827957,0.8340909090909091,0.9145,0.7563357575846726,367,98,73,1462,828.0,0.9586
Logistic Regression,0.3061371841155235,0.5018662587412588,0.22433862433862434,0.4818181818181818,0.5195,0.009912497273999588,212,733,228,827,3013.0,0.84935
HASTE,0.8528389339513326,0.9693662587412587,0.8699763593380615,0.8363636363636363,0.9365,0.8126307578425402,368,55,72,1505,775.0,0.96125
